playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
anderch01,Chase,Anderson,1987,11,Chase Anderson
anderco01,Cody,Anderson,1990,9,Cody Anderson
andercr01,Craig,Anderson,1938,7,Craig Anderson
anderda01,Dave,Anderson,1868,10,Dave Anderson
anderda02,Dave,Anderson,1960,8,Dave Anderson
anderdr01,Drew,Anderson,1981,6,Drew Anderson
anderdr02,Drew,Anderson,1994,3,Drew Anderson
anderdw01,Dwain,Anderson,1947,11,Dwain Anderson
anderfa01,Fast Ball,Anderson,,,Fast Ball Anderson
anderfe01,Ferrell,Anderson,1918,1,Ferrell Anderson
anderfr01,Fred,Anderson,1885,12,Fred Anderson
anderga01,Garret,Anderson,1972,6,Garret Anderson
anderge01,George,Anderson,1889,9,George Anderson
andergo01,Goat,Anderson,1880,1,Goat Anderson
andergr01,Grant,Anderson,1997,6,Grant Anderson
anderha01,Hal,Anderson,1904,2,Hal Anderson
anderha02,Harry,Anderson,1931,9,Harry Anderson
anderia01,Ian,Anderson,1998,5,Ian Anderson
anderja01,Jason,Anderson,1979,6,Jason Anderson
anderji01,Jim,Anderson,1957,2,Jim Anderson
anderji02,Jimmy,Anderson,1976,1,Jimmy Anderson
anderjo01,John,Anderson,1873,12,John Anderson
anderjo02,John,Anderson,1929,11,John Anderson
anderjo03,Josh,Anderson,1982,8,Josh Anderson
anderju01,Justin,Anderson,1992,9,Justin Anderson
anderke01,Kent,Anderson,1963,8,Kent Anderson
anderla01,Larry,Anderson,1952,12,Larry Anderson
anderla02,Larry,Andersen,1953,5,Larry Andersen
anderla03,Lars,Anderson,1987,9,Lars Anderson
anderle01,Lewis,Anderson,,,Lewis Anderson
anderma01,Matt,Anderson,1976,8,Matt Anderson
anderma02,Marlon,Anderson,1974,1,Marlon Anderson
andermi01,Mike,Anderson,1951,6,Mike Anderson
andermi02,Mike,Anderson,1966,7,Mike Anderson
anderni01,Nick,Anderson,1990,7,Nick Anderson
anderor01,Orinthal,Anderson,1920,11,Orinthal Anderson
anderre01,Red,Anderson,1912,6,Red Anderson
anderri01,Rick,Anderson,1953,12,Rick Anderson
anderri02,Rick,Anderson,1956,11,Rick Anderson
anderro01,Roland,Anderson,,,Roland Anderson
andersc01,Scott,Anderson,1962,8,Scott Anderson
andersh01,Shaun,Anderson,1994,10,Shaun Anderson
andersp01,Sparky,Anderson,1934,2,Sparky Anderson
anderta01,Tanner,Anderson,1993,5,Tanner Anderson
anderti01,Tim,Anderson,1993,6,Tim Anderson
anderty01,Tyler,Anderson,1989,12,Tyler Anderson
anderva01,Varney,Anderson,1866,6,Varney Anderson
anderwa01,Walter,Anderson,1897,9,Walter Anderson
anderwi01,Wingo,Anderson,1886,8,Wingo Anderson
andinro01,Robert,Andino,1984,4,Robert Andino
andrast01,Steve,Andrade,1978,2,Steve Andrade
andre01,,Andrews,,, Andrews
andre02,,Andrews,,, Andrews
andrecl01,Clayton,Andrews,1978,5,Clayton Andrews
andrecl02,Clayton,Andrews,1997,1,Clayton Andrews
andrecu01,Curley,Andrews,,,Curley Andrews
andreed01,Ed,Andrews,1859,4,Ed Andrews
andreel01,Elbert,Andrews,1901,12,Elbert Andrews
andreer01,Ernie,Andres,1918,1,Ernie Andres
andrefr01,Fred,Andrews,1952,5,Fred Andrews
andrehu01,Hub,Andrews,1922,8,Hub Andrews
andreiv01,Ivy,Andrews,1907,5,Ivy Andrews
andreja01,Jabbo,Andrews,1907,12,Jabbo Andrews
andreji01,Jim,Andrews,1865,6,Jim Andrews
andrejo01,John,Andre,1923,1,John Andre
andrejo02,John,Andrews,1949,2,John Andrews
andrejo03,John,Andreoli,1990,6,John Andreoli
